Station;Downtime(s)
1 ; 40.000000
8 ; 106.012033
2 ; 59.524077
3 ; 83.000000
9 ; 74.459206
1 ; 40.000000
4 ; 51.196469
5 ; 31.170420
8 ; 70.500000
6 ; 218.854381
1 ; 42.000000
6 ; 18.641593
9 ; 63.444291
1 ; 44.000000
3 ; 63.006006
8 ; 73.074032
2 ; 59.200251
1 ; 42.000000
8 ; 38.500000
9 ; 38.500000
7 ; 127.189214
8 ; 59.111954
1 ; 38.000000
3 ; 29.000000
6 ; 142.151528
5 ; 85.000000
1 ; 42.000000
8 ; 74.366199
1 ; 42.000000
7 ; 7.000000
9 ; 197.992776
3 ; 63.000000
8 ; 69.204284
2 ; 197.707472
4 ; 75.958456
8 ; 78.548221
1 ; 24.000000
3 ; 67.000000
2 ; 50.098114
1 ; 96.000000
8 ; 112.950539
9 ; 281.452657
4 ; 249.527024
3 ; 19.000000
5 ; 15.000000
2 ; 99.757507
8 ; 245.716642
1 ; 156.000000
6 ; 32.641593
8 ; 208.651487
9 ; 97.067329
3 ; 39.211870
7 ; 148.256049
8 ; 40.641593
5 ; 33.000000
6 ; 56.915470
1 ; 38.000000
3 ; 17.000000
9 ; 50.500000
7 ; 29.000000
6 ; 43.356718
1 ; 134.000000
2 ; 46.641593
8 ; 64.367429
1 ; 38.000000
4 ; 40.852639
5 ; 25.000000
2 ; 59.494278
8 ; 69.875069
1 ; 144.000000
7 ; 50.494548
9 ; 154.733611
3 ; 154.228674
1 ; 104.000000
8 ; 129.436938
6 ; 14.641593
1 ; 46.000000
3 ; 42.581638
1 ; 44.000000
8 ; 305.565752
2 ; 229.369933
6 ; 204.971339
7 ; 36.882321
9 ; 107.601073
1 ; 46.000000
8 ; 58.623487
4 ; 244.554059
6 ; 18.641593
1 ; 102.000000
2 ; 52.682410
8 ; 338.343309
3 ; 37.636271
1 ; 40.000000
9 ; 232.779571
5 ; 27.000000
7 ; 37.000000
1 ; 40.000000
8 ; 176.285312
2 ; 86.561753
3 ; 35.033052
1 ; 40.000000
8 ; 164.257803
6 ; 36.641593
1 ; 40.000000
9 ; 107.914253
1 ; 120.000000
2 ; 119.527577
1 ; 110.000000
1 ; 2.000000
9 ; 96.678267
6 ; 163.778739
7 ; 273.258620
8 ; 246.386558
1 ; 150.000000
2 ; 261.392716
4 ; 181.454218
8 ; 316.946334
6 ; 136.601575
1 ; 94.000000
9 ; 383.102257
7 ; 37.948544
8 ; 88.500000
5 ; 49.619767
6 ; 140.869801
3 ; 35.204155
8 ; 61.932190
1 ; 42.000000
9 ; 95.218558
8 ; 65.895439
