Time elapsed [min],Timestamp [s]
2.786763 , 508.688808
3.442950 , 1878.280446
3.619079 , 2191.487805
2.846740 , 2446.567161
3.011349 , 3058.599186
2.820291 , 3094.672636
3.537871 , 5166.271430
3.118409 , 5954.800228
3.237853 , 6944.724860
2.800075 , 7285.015718
2.813281 , 8616.215754
2.647245 , 9955.450337
3.647062 , 12422.164195
2.606637 , 12610.267356
2.918357 , 13237.743006
4.174763 , 13594.647354
2.977512 , 14810.500548
2.760180 , 15302.877279
3.477287 , 17387.101742
3.346803 , 17979.480984
4.234933 , 18384.194717
3.818923 , 19824.572549
2.886019 , 19863.101847
3.522980 , 22900.174142
2.748449 , 23386.157338
3.801091 , 24067.793996
2.734242 , 24104.808046
3.694428 , 24245.190166
3.146431 , 24276.606289
2.699233 , 25373.561880
3.013934 , 25523.538946
2.769837 , 25777.311997
2.996638 , 26632.616825
3.313523 , 27648.921807
3.235135 , 27952.380759
2.787401 , 28968.152043
3.355434 , 29135.585539
2.725433 , 29813.111929
3.015375 , 30934.385213
2.993433 , 31279.900909
2.633685 , 32277.918572
3.697106 , 32601.424424
3.275510 , 32636.778414
3.442754 , 34165.683095
2.937118 , 34198.278156
3.099722 , 34368.749940
3.900799 , 34710.364977
3.574850 , 35069.674894
2.752049 , 36484.643785
3.254289 , 37218.701370
3.682429 , 37348.507232
2.825586 , 37949.789259
2.847490 , 38040.613313
2.773116 , 38252.523634
3.683195 , 39115.886368
3.118073 , 39148.409136
2.651250 , 40070.666212
3.478286 , 40524.160588
3.032080 , 40575.343003
4.018855 , 40810.915517
3.741564 , 40855.138167
3.105772 , 40892.369665
3.360112 , 41250.813235
3.147340 , 41870.710622
2.857869 , 42042.379398
3.583695 , 42448.448019
2.645687 , 42759.983051
2.927307 , 43217.489174
3.724307 , 43936.156128
3.816427 , 43986.599368
2.751579 , 44042.469710
2.660078 , 44797.917950
2.769367 , 44849.335257
4.094487 , 45194.485694
3.374025 , 45221.739068
4.363308 , 45540.101977
4.809422 , 46450.482464
3.123813 , 46789.745241
2.847202 , 46829.158989
3.442223 , 47018.536033
3.008545 , 47080.222722
2.721196 , 47247.702905
2.804185 , 47290.805526
3.019883 , 47359.645274
3.331014 , 47468.767704
3.782378 , 47600.247837
3.844668 , 47647.917398
2.873893 , 47938.933301
4.296329 , 48109.965327
4.696327 , 48185.449330
4.176636 , 48513.057407
4.426155 , 48594.399438
3.114649 , 48663.787108
3.409529 , 48760.107824
3.326378 , 48833.762362
3.179443 , 49600.448093
4.514062 , 50205.487977
4.956324 , 50328.442060
4.367163 , 50399.613617
4.185977 , 50479.461890
5.973084 , 50695.833990
4.943899 , 50733.488810
4.930634 , 50768.023418
3.426545 , 50809.643276
3.734661 , 51172.890851
2.861020 , 51673.246060
3.323332 , 51909.368039
4.229584 , 52549.006208
3.802871 , 53132.117505
3.467184 , 53463.086343
3.253962 , 53496.810194
2.802741 , 53558.850891
2.775353 , 53735.699196
4.893148 , 54033.279404
3.206572 , 54093.718649
3.054163 , 54130.653266
2.828661 , 54364.536350
2.990165 , 54569.543008
3.072151 , 54653.060241
3.666807 , 54910.968694
3.561767 , 54951.088504
3.299903 , 54984.994548
4.220149 , 55133.824238
5.117708 , 55262.783847
2.740594 , 55746.336086
3.275309 , 56683.541693
3.764727 , 56850.819861
3.870799 , 57075.053721
2.540982 , 57152.307376
3.743219 , 58060.064510
2.834029 , 58432.196532
2.760974 , 59254.397068
3.636258 , 60259.421292
3.212251 , 61691.472141
2.929821 , 62172.097850
2.713770 , 62204.334844
2.783378 , 62563.513676
2.848559 , 62700.755360
3.151383 , 62900.514353
3.614894 , 63138.342696
3.444280 , 63191.031001
4.278345 , 63342.085578
3.899331 , 63369.535437
2.714421 , 63439.350377
3.726217 , 63573.182354
3.597935 , 63714.905670
2.873911 , 63999.882113
4.029522 , 64134.431611
3.677116 , 64194.513198
3.728043 , 64819.942767
3.427709 , 65017.665978
5.056919 , 65211.053424
5.291411 , 65329.350123
5.314647 , 65367.534024
5.269373 , 65455.082910
4.313660 , 65491.643808
4.119495 , 65524.920948
5.275484 , 65642.322168
7.290809 , 65880.594330
8.042954 , 66029.459364
7.811913 , 66062.566847
7.696626 , 66094.990371
4.288789 , 66173.477133
3.694014 , 66206.499522
2.744725 , 66342.605408
2.951729 , 66726.302791
2.807161 , 67083.669523
2.975244 , 67148.559646
3.312183 , 67247.615966
3.218169 , 67765.799246
3.731581 , 67898.214220
2.990128 , 67929.185190
4.784463 , 68140.979972
4.423415 , 68168.957565
4.379144 , 68199.824454
5.255955 , 68339.703565
4.375476 , 68375.042397
3.458832 , 68536.280522
2.954257 , 68645.853016
3.202522 , 68737.660430
3.019567 , 68828.151254
2.868441 , 69098.735072
3.411247 , 69596.423835
4.567924 , 69738.253042
4.266520 , 69930.440742
3.362568 , 70004.511296
3.050148 , 70039.664787
3.776230 , 70167.714658
3.366630 , 70280.919165
4.410389 , 70388.741612
5.021713 , 70507.741579
6.228941 , 70666.356502
5.895631 , 70694.697446
5.549777 , 70781.646541
2.754303 , 71123.754361
3.090878 , 71220.720062
3.776373 , 71353.038512
3.709404 , 71448.774255
4.952555 , 71692.522283
4.002090 , 71718.205222
2.905381 , 71809.931609
3.811809 , 71977.986052
3.464930 , 72045.981495
3.661445 , 72127.810034
3.054777 , 72184.695853
3.434483 , 72336.566821
3.009527 , 72379.338978
4.449586 , 72577.534918
4.071807 , 72615.404477
3.825647 , 72716.206507
3.477969 , 72783.091569
4.851357 , 72958.173450
4.112892 , 72987.427143
2.909408 , 73103.632706
2.733880 , 73149.763279
3.284619 , 73256.005273
2.944464 , 73452.816124
4.004318 , 73631.347161
3.625431 , 73664.834750
3.523943 , 73696.543468
3.284319 , 73738.488146
4.587937 , 73960.828015
4.074779 , 73991.036724
3.553880 , 74046.520602
2.872124 , 74099.888539
2.862564 , 74266.158833
3.969268 , 74385.414791
3.194878 , 74422.592844
2.816491 , 74697.403947
3.920929 , 74864.157931
