OrderId [number],Type [string],Chips [bool],Drink [bool],Value [€], Timestamp [s]
1001 , chicken , 0 , 1 , 8.500000 , 201.987894
1001 , veggy , 1 , 1 , 10.500000 , 201.987894
1001 , chicken , 1 , 1 , 11.500000 , 201.987894
1001 , meat , 0 , 1 , 9.500000 , 201.987894
1001 , chicken , 1 , 0 , 9.000000 , 201.987894
1002 , meat , 1 , 0 , 10.000000 , 322.376945
1002 , meat , 1 , 0 , 10.000000 , 322.376945
1003 , veggy , 1 , 0 , 8.000000 , 341.483009
1004 , veggy , 1 , 1 , 10.500000 , 1388.307324
1004 , veggy , 1 , 1 , 10.500000 , 1388.307324
1004 , meat , 1 , 1 , 12.500000 , 1388.307324
1004 , chicken , 0 , 1 , 8.500000 , 1388.307324
1004 , chicken , 0 , 1 , 8.500000 , 1388.307324
1005 , veggy , 0 , 1 , 7.500000 , 1602.301600
1005 , chicken , 1 , 1 , 11.500000 , 1602.301600
1005 , meat , 0 , 1 , 9.500000 , 1602.301600
1006 , chicken , 1 , 1 , 11.500000 , 1671.703466
1006 , meat , 1 , 1 , 12.500000 , 1671.703466
1006 , meat , 0 , 1 , 9.500000 , 1671.703466
1007 , meat , 0 , 1 , 9.500000 , 1974.343038
1007 , veggy , 1 , 1 , 10.500000 , 1974.343038
1007 , meat , 0 , 1 , 9.500000 , 1974.343038
1007 , chicken , 0 , 1 , 8.500000 , 1974.343038
1007 , chicken , 0 , 1 , 8.500000 , 1974.343038
1008 , veggy , 1 , 1 , 10.500000 , 2148.634032
1008 , chicken , 1 , 1 , 11.500000 , 2148.634032
1008 , chicken , 1 , 1 , 11.500000 , 2148.634032
1008 , chicken , 1 , 1 , 11.500000 , 2148.634032
1009 , veggy , 1 , 1 , 10.500000 , 2275.762775
1009 , veggy , 0 , 1 , 7.500000 , 2275.762775
1010 , chicken , 1 , 1 , 11.500000 , 2583.747478
1010 , chicken , 1 , 1 , 11.500000 , 2583.747478
1010 , chicken , 1 , 1 , 11.500000 , 2583.747478
1010 , meat , 1 , 1 , 12.500000 , 2583.747478
1011 , meat , 0 , 0 , 7.000000 , 2877.918271
1011 , chicken , 1 , 1 , 11.500000 , 2877.918271
1011 , veggy , 0 , 1 , 7.500000 , 2877.918271
1011 , chicken , 0 , 0 , 6.000000 , 2877.918271
1012 , meat , 1 , 1 , 12.500000 , 2925.455162
1013 , veggy , 1 , 1 , 10.500000 , 4573.864708
1013 , meat , 1 , 1 , 12.500000 , 4573.864708
1014 , veggy , 0 , 1 , 7.500000 , 4953.999171
1014 , veggy , 1 , 1 , 10.500000 , 4953.999171
1014 , chicken , 0 , 1 , 8.500000 , 4953.999171
1014 , chicken , 1 , 0 , 9.000000 , 4953.999171
1014 , chicken , 0 , 0 , 6.000000 , 4953.999171
1015 , veggy , 1 , 1 , 10.500000 , 5277.124350
1015 , meat , 1 , 1 , 12.500000 , 5277.124350
1015 , chicken , 0 , 0 , 6.000000 , 5277.124350
1015 , meat , 0 , 1 , 9.500000 , 5277.124350
1015 , veggy , 1 , 1 , 10.500000 , 5277.124350
1016 , veggy , 0 , 1 , 7.500000 , 5767.695695
1016 , chicken , 1 , 1 , 11.500000 , 5767.695695
1016 , meat , 1 , 1 , 12.500000 , 5767.695695
1017 , meat , 0 , 1 , 9.500000 , 6750.453695
1017 , veggy , 1 , 1 , 10.500000 , 6750.453695
1017 , veggy , 1 , 1 , 10.500000 , 6750.453695
1017 , chicken , 1 , 1 , 11.500000 , 6750.453695
1018 , veggy , 0 , 1 , 7.500000 , 7117.011228
