Time elapsed [min],Timestamp [s]
3.240868 , 396.439958
3.457534 , 529.829010
3.774201 , 1614.759389
2.990868 , 1781.753664
3.324201 , 2348.086097
3.490868 , 2793.199542
2.607534 , 4730.316773
3.407534 , 5481.576414
3.574201 , 7816.900061
2.690868 , 12668.005020
3.340868 , 13005.464203
2.924201 , 14671.245028
3.226915 , 14721.482490
3.890868 , 16382.209550
3.674201 , 16705.015853
3.357534 , 16957.235120
4.090868 , 19190.724788
3.507534 , 19282.758149
2.324201 , 20100.467223
3.340868 , 21079.313282
3.574201 , 23267.346429
2.257534 , 23602.456072
3.764947 , 23652.693534
3.557534 , 23867.144771
3.274201 , 24205.237616
3.740868 , 24846.226648
3.607534 , 25853.586272
2.890868 , 26041.526399
3.607534 , 26197.903905
3.057534 , 26296.572502
4.007534 , 29240.245301
3.157534 , 29321.966820
4.140868 , 30253.223426
2.724201 , 30723.849338
2.574201 , 30949.494223
2.407534 , 31496.413123
3.190868 , 35285.423354
2.532340 , 35335.660817
2.490868 , 36370.414961
3.474201 , 36597.938182
3.440868 , 37085.636716
3.424201 , 37549.786827
3.224201 , 37871.869174
3.544280 , 37922.106637
2.674201 , 38367.887231
3.207534 , 39949.717930
3.440868 , 40169.115474
3.903539 , 40219.352937
3.874201 , 40709.800519
4.157534 , 40781.535871
3.540868 , 41004.423468
2.274201 , 41082.881307
3.107534 , 41621.840050
2.824201 , 41897.971287
2.257534 , 41969.906846
2.625865 , 42020.144309
2.490868 , 42124.021099
3.124201 , 42578.600899
2.958642 , 42628.838362
2.657534 , 43172.640200
2.240868 , 43528.255295
2.490868 , 44136.737563
3.707534 , 44439.403981
3.440868 , 44531.293667
3.840868 , 44737.160959
4.028710 , 44787.398422
2.624201 , 44967.923976
4.541028 , 45018.161439
2.657534 , 45153.270164
3.674201 , 45471.480548
3.674201 , 45747.635340
3.124201 , 45971.609704
3.574201 , 46274.384878
3.774201 , 46386.962669
4.087048 , 46437.200132
4.907534 , 46506.843521
4.288644 , 46557.080984
4.195618 , 46607.318447
2.724201 , 47157.503851
2.990868 , 47344.771945
4.257534 , 47697.828157
4.157534 , 47813.815353
3.690868 , 48029.682445
4.140868 , 48137.950193
5.840868 , 48615.697323
6.019510 , 48665.934786
5.126319 , 48716.172249
3.557534 , 48939.823208
3.457534 , 49028.484827
4.210738 , 49078.722290
3.940868 , 49145.566506
3.340868 , 49261.440381
2.874245 , 49311.677844
3.924201 , 49449.482102
2.857534 , 49786.903040
3.057534 , 49844.300500
3.690868 , 49907.464506
3.990868 , 50173.220077
3.674201 , 50245.646170
3.924201 , 50337.471870
4.957534 , 50563.786651
5.307534 , 50614.516693
4.374201 , 50740.765781
2.924201 , 50805.294724
4.390868 , 51092.587901
3.574201 , 51281.747074
2.740868 , 51462.119265
2.457534 , 51518.373583
2.824201 , 52230.108321
3.624201 , 52396.262653
4.305895 , 52446.500116
3.436437 , 52496.737579
5.551574 , 52546.975042
6.351467 , 52597.212505
3.426411 , 52647.449968
5.265675 , 52697.687430
2.821109 , 52747.924893
4.307534 , 53086.228658
3.624201 , 53177.742265
3.407510 , 53227.979728
3.290868 , 53360.538033
3.235119 , 53410.775496
3.690868 , 53620.561808
3.674201 , 53720.129763
4.474201 , 53988.887151
3.140868 , 54063.853297
4.440591 , 54114.090760
4.157534 , 55165.230431
1.990868 , 55419.928772
3.557534 , 56463.041328
4.307534 , 56954.383994
2.907534 , 57014.464212
3.174201 , 57068.372190
3.440868 , 57535.611876
3.440868 , 57749.553494
3.156139 , 57799.790957
2.924201 , 57925.858436
2.840868 , 58183.110204
2.874201 , 58615.958178
3.057534 , 58830.558466
3.657534 , 59530.133870
3.374201 , 59633.480905
3.716773 , 59683.718368
3.407534 , 59981.103530
2.490868 , 60162.386113
3.557534 , 60468.354996
1.990868 , 60673.248701
3.257534 , 60839.669012
3.840868 , 60899.445456
3.840868 , 61542.551327
2.590868 , 62109.042687
4.407534 , 62409.699641
3.392839 , 62459.937104
3.207534 , 62738.127526
3.607534 , 63012.946119
3.404329 , 63063.183582
4.074201 , 63270.271119
4.024201 , 63407.010424
4.040868 , 63542.300010
3.590868 , 63592.794891
3.385650 , 63643.032354
2.490868 , 63855.438624
2.657534 , 64160.778020
2.657534 , 64221.454901
3.374201 , 64424.945145
3.107534 , 64521.029534
4.374201 , 64599.803240
3.152785 , 64650.040703
4.390868 , 65139.935346
4.290868 , 65256.619669
5.340868 , 65382.537304
4.140868 , 65538.018889
7.207534 , 65785.208444
6.974201 , 65913.292202
7.174201 , 65969.191994
7.674201 , 66099.694798
9.075319 , 66149.932261
2.657534 , 66283.795698
3.274201 , 66932.809050
2.540868 , 67275.128327
3.846634 , 67325.365790
2.907534 , 67536.435949
2.807534 , 67632.507897
3.474201 , 67851.892103
5.990868 , 68224.775574
4.615252 , 68275.013037
4.031652 , 68325.250500
3.040868 , 68591.110082
3.476836 , 68641.347545
3.740868 , 68879.114501
3.107534 , 69016.478299
3.307534 , 69326.661244
3.074201 , 69441.554185
5.057534 , 69697.195310
4.340868 , 69818.266106
5.024201 , 69989.892734
3.357534 , 70098.665331
4.624201 , 70366.321393
5.082946 , 70416.558856
5.583557 , 70466.796319
6.190385 , 70517.033782
5.186562 , 70567.271245
6.057534 , 70717.195831
6.034300 , 70767.433294
3.807534 , 71048.492830
3.452026 , 71098.730293
4.307534 , 71351.159416
3.374201 , 71460.104364
5.940868 , 71585.745128
4.141279 , 71635.982591
3.140868 , 71833.734381
3.674201 , 71950.466533
3.640868 , 72085.791132
3.140868 , 72284.311664
3.407534 , 72475.776967
3.707534 , 72682.716391
3.074201 , 72737.082981
3.590868 , 72863.860319
3.890868 , 72985.430948
3.640868 , 73425.136128
3.640868 , 73531.046071
3.595890 , 73581.283534
3.674201 , 73820.781051
4.193150 , 73871.018514
4.069967 , 73921.255977
2.990868 , 74068.632477
2.907534 , 74169.029125
4.124201 , 74359.751677
5.607534 , 74567.735552
6.057534 , 74692.152134
6.282329 , 74742.389597
4.807534 , 74939.931152
3.774201 , 75047.530193
3.830795 , 75097.767656
2.920194 , 75148.005119
3.374201 , 75341.490885
3.540868 , 75428.269355
4.540868 , 75490.500281
3.440868 , 75591.469968
3.407534 , 75692.074006
2.074201 , 75945.270443
2.824201 , 76144.252914
3.024201 , 76398.508424
3.657534 , 76653.441491
3.590868 , 76764.334049
3.574201 , 76946.510645
4.874201 , 77089.409017
2.657534 , 77418.155446
3.989149 , 77468.392909
